Execute pipeline with following supplementary args: --smtpPort 25 --listenerMode NOOP --launcherMode FAULT_LOCALIZATION  --gitrepourl https://github.com/apache/shardingsphere --gitrepopullrequest 13958
java -cp /usr/local/openjdk-11/lib/tools.jar:repairnator-pipeline.jar -Dlogback.configurationFile=/root/logback.xml fr.inria.spirals.repairnator.pipeline.Launcher -d --runId null -o /var/log --ghOauth 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 --faultLocalization --flacocoThreshold 0.0 --flacocoTopK null --flacocoResultsRepository flacocobot/flacocobot-experiment-3 --ghOauth  --smtpPort 25 --listenerMode NOOP --launcherMode FAULT_LOCALIZATION  --gitrepourl https://github.com/apache/shardingsphere --gitrepopullrequest 13958

07:19:16.920 [main] INFO  f.i.s.r.p.g.GithubInitSerializerEngines - Initialize file serializer engines.
07:19:16.922 [main] INFO  f.i.s.r.p.g.GithubInitSerializerEngines - MongoDB won't be used for serialization.
07:19:16.922 [main] INFO  f.i.s.r.p.github.GithubInitNotifiers - The email notifier engine won't be used.
07:19:16.941 [main] INFO  f.i.s.r.p.i.ProjectInspector - ----------------------------------------------------------------------
07:19:16.941 [main] INFO  f.i.s.r.p.i.ProjectInspector - PIPELINE STEPS
07:19:16.941 [main] INFO  f.i.s.r.p.i.ProjectInspector - ----------------------------------------------------------------------
07:19:16.941 [main] INFO  f.i.s.r.p.i.ProjectInspector - CloneCheckoutGitPullRequest
07:19:16.941 [main] INFO  f.i.s.r.p.i.ProjectInspector - BuildProject
07:19:16.941 [main] INFO  f.i.s.r.p.i.ProjectInspector - TestProject
07:19:16.941 [main] INFO  f.i.s.r.p.i.ProjectInspector - ComputeClasspath
07:19:16.941 [main] INFO  f.i.s.r.p.i.ProjectInspector - ComputeSourceDir
07:19:16.941 [main] INFO  f.i.s.r.p.i.ProjectInspector - ComputeTestDir
07:19:16.941 [main] INFO  f.i.s.r.p.i.ProjectInspector - GatherTestInformation
07:19:16.941 [main] INFO  f.i.s.r.p.i.ProjectInspector - FlacocoLocalization
07:19:16.941 [main] INFO  f.i.s.r.p.i.ProjectInspector - PushFaultLocalizationSuggestionsOnExternalRepository
07:19:16.942 [main] INFO  f.i.s.r.p.s.CloneCheckoutGitPullRequest - Cloning repository https://github.com/apache/shardingsphere.git in the following directory: ./workspace/apache-shardingsphere-master-13958_repo
07:30:26.514 [Thread-7] ERROR f.i.s.r.p.m.o.MavenFilterOutputHandler - [ERROR] 2021-12-07 07:30:26.509 [main] com.zaxxer.hikari.HikariConfig - Failed to load driver class InvalidDriver from HikariConfig class classloader jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15
07:32:34.265 [Thread-8] ERROR f.i.s.r.p.m.output.MavenErrorHandler - Dec 07, 2021 7:32:34 AM com.google.common.eventbus.EventBus$LoggingHandler handleException
07:32:34.265 [Thread-8] ERROR f.i.s.r.p.m.output.MavenErrorHandler - SEVERE: Exception thrown by subscriber method reportExecuteProcessUnit(org.apache.shardingsphere.mode.manager.cluster.coordinator.registry.process.event.ExecuteProcessUnitReportEvent) on subscriber org.apache.shardingsphere.mode.manager.cluster.coordinator.registry.process.subscriber.ProcessRegistrySubscriber@24b4f4a when dispatching event: org.apache.shardingsphere.mode.manager.cluster.coordinator.registry.process.event.ExecuteProcessUnitReportEvent@7af48227
07:32:34.265 [Thread-8] ERROR f.i.s.r.p.m.output.MavenErrorHandler - java.lang.NullPointerException
07:32:34.265 [Thread-8] ERROR f.i.s.r.p.m.output.MavenErrorHandler - 	at org.apache.shardingsphere.mode.manager.cluster.coordinator.registry.process.subscriber.ProcessRegistrySubscriber.reportExecuteProcessUnit(ProcessRegistrySubscriber.java:87)
07:32:34.265 [Thread-8] ERROR f.i.s.r.p.m.output.MavenErrorHandler - 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
07:32:34.265 [Thread-8] ERROR f.i.s.r.p.m.output.MavenErrorHandler - 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
07:32:34.265 [Thread-8] ERROR f.i.s.r.p.m.output.MavenErrorHandler - 	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
07:32:34.265 [Thread-8] ERROR f.i.s.r.p.m.output.MavenErrorHandler - 	at java.base/java.lang.reflect.Method.invoke(Method.java:566)
07:32:34.266 [Thread-8] ERROR f.i.s.r.p.m.output.MavenErrorHandler - 	at com.google.common.eventbus.Subscriber.invokeSubscriberMethod(Subscriber.java:87)
07:32:34.266 [Thread-8] ERROR f.i.s.r.p.m.output.MavenErrorHandler - 	at com.google.common.eventbus.Subscriber$SynchronizedSubscriber.invokeSubscriberMethod(Subscriber.java:144)
07:32:34.266 [Thread-8] ERROR f.i.s.r.p.m.output.MavenErrorHandler - 	at com.google.common.eventbus.Subscriber$1.run(Subscriber.java:72)
07:32:34.266 [Thread-8] ERROR f.i.s.r.p.m.output.MavenErrorHandler - 	at com.google.common.util.concurrent.DirectExecutor.execute(DirectExecutor.java:30)
07:32:34.266 [Thread-8] ERROR f.i.s.r.p.m.output.MavenErrorHandler - 	at com.google.common.eventbus.Subscriber.dispatchEvent(Subscriber.java:67)
07:32:34.266 [Thread-8] ERROR f.i.s.r.p.m.output.MavenErrorHandler - 	at com.google.common.eventbus.Dispatcher$PerThreadQueuedDispatcher.dispatch(Dispatcher.java:108)
07:32:34.266 [Thread-8] ERROR f.i.s.r.p.m.output.MavenErrorHandler - 	at com.google.common.eventbus.EventBus.post(EventBus.java:212)
07:32:34.266 [Thread-8] ERROR f.i.s.r.p.m.output.MavenErrorHandler - 	at org.apache.shardingsphere.mode.manager.cluster.process.GovernanceExecuteProcessReporter.report(GovernanceExecuteProcessReporter.java:46)
07:32:34.266 [Thread-8] ERROR f.i.s.r.p.m.output.MavenErrorHandler - 	at org.apache.shardingsphere.mode.manager.cluster.process.GovernanceExecuteProcessReporterTest.assertReport(GovernanceExecuteProcessReporterTest.java:46)
07:32:34.266 [Thread-8] ERROR f.i.s.r.p.m.output.MavenErrorHandler - 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
07:32:34.266 [Thread-8] ERROR f.i.s.r.p.m.output.MavenErrorHandler - 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
07:32:34.266 [Thread-8] ERROR f.i.s.r.p.m.output.MavenErrorHandler - 	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
07:32:34.266 [Thread-8] ERROR f.i.s.r.p.m.output.MavenErrorHandler - 	at java.base/java.lang.reflect.Method.invoke(Method.java:566)
07:32:34.266 [Thread-8] ERROR f.i.s.r.p.m.output.MavenErrorHandler - 	at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:50)
07:32:34.266 [Thread-8] ERROR f.i.s.r.p.m.output.MavenErrorHandler - 	at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12)
07:32:34.266 [Thread-8] ERROR f.i.s.r.p.m.output.MavenErrorHandler - 	at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:47)
07:32:34.267 [Thread-8] ERROR f.i.s.r.p.m.output.MavenErrorHandler - 	at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:17)
